meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
69.0,Mario & Sonic at the Olympic Games Tokyo 2020,Switch,"Nov 5, 2019",6.9,/game/switch/mario-sonic-at-the-olympic-games-tokyo-2020,E10+,['Sega'],"['Sports', 'Individual', 'Athletics']"
63.0,Super Monkey Ball: Banana Blitz HD,Switch,"Oct 29, 2019",5.0,/game/switch/super-monkey-ball-banana-blitz-hd,E10+,"['Sega', ' Ryu ga Gotoku Studios']","['Miscellaneous', 'Party / Minigame']"
62.0,Super Monkey Ball: Banana Blitz HD,PS4,"Oct 29, 2019",5.5,/game/playstation-4/super-monkey-ball-banana-blitz-hd,E10+,"['Sega', ' Ryu ga Gotoku Studios']","['Miscellaneous', 'Party / Minigame']"
70.0,Super Monkey Ball: Banana Blitz HD,XONE,"Oct 29, 2019",5.3,/game/xbox-one/super-monkey-ball-banana-blitz-hd,E10+,"['Sega', ' Ryu ga Gotoku Studios']","['Miscellaneous', 'Party / Minigame']"
78.0,Yakuza 4 Remastered,PS4,"Oct 29, 2019",7.5,/game/playstation-4/yakuza-4-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
74.0,Sega Ages: Space Harrier,Switch,"Aug 22, 2019",8.2,/game/switch/sega-ages-space-harrier,E,['M2'],"['Action', 'Shooter', 'Rail']"
76.0,Sega Ages: Puyo Puyo,Switch,"Aug 22, 2019",7.8,/game/switch/sega-ages-puyo-puyo,E,['M2'],"['Puzzle', 'Matching']"
83.0,The Yakuza Remastered Collection,PS4,"Aug 20, 2019",7.8,/game/playstation-4/the-yakuza-remastered-collection,M,['Ryu ga Gotoku Studios'],"['Miscellaneous', 'Compilation']"
63.0,SolSeraph,PC,"Jul 10, 2019",6.0,/game/pc/solseraph,E,['ACE Team'],"['Action Adventure', 'General']"
53.0,SolSeraph,PS4,"Jul 10, 2019",4.0,/game/playstation-4/solseraph,E,['ACE Team'],"['Action Adventure', 'General']"
82.0,Sega Ages: Virtua Racing,Switch,"Jun 27, 2019",7.9,/game/switch/sega-ages-virtua-racing,E,"['Sega AM2', ' M2']","['Racing', 'Arcade', 'Automobile']"
74.0,Sega Ages: Wonder Boy in Monster Land,Switch,"Jun 27, 2019",7.4,/game/switch/sega-ages-wonder-boy-in-monster-land,E10+,"['Sega', ' M2']","['Action Adventure', 'General']"
80.0,Judgment,PS4,"Jun 21, 2019",8.5,/game/playstation-4/judgment,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'General', 'Open-World']"
63.0,Citizens of Space,PS4,"Jun 18, 2019",6.7,/game/playstation-4/citizens-of-space,T,['Sega'],"['Role-Playing', 'Japanese-Style']"
85.0,Total War: Three Kingdoms,PC,"May 23, 2019",7.6,/game/pc/total-war-three-kingdoms,T,['Creative Assembly'],"['Strategy', 'Real-Time', 'General']"
71.0,Team Sonic Racing,Switch,"May 21, 2019",7.2,/game/switch/team-sonic-racing,E,['Sumo Digital'],"['Racing', 'Arcade', 'Automobile']"
72.0,Team Sonic Racing,PS4,"May 21, 2019",7.2,/game/playstation-4/team-sonic-racing,E,['Sumo Digital'],"['Racing', 'Arcade', 'Automobile']"
73.0,Team Sonic Racing,XONE,"May 21, 2019",7.5,/game/xbox-one/team-sonic-racing,E,['Sumo Digital'],"['Racing', 'Arcade', 'Automobile']"
82.0,Yakuza Kiwami 2,PC,"May 9, 2019",8.3,/game/pc/yakuza-kiwami-2,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
74.0,Puyo Puyo Champions,Switch,"May 7, 2019",6.3,/game/switch/puyo-puyo-champions,E,['Sega'],"['Puzzle', 'Matching']"
74.0,Puyo Puyo Champions,PS4,"May 7, 2019",3.6,/game/playstation-4/puyo-puyo-champions,E,['Sega'],"['Puzzle', 'Matching']"
80.0,Yakuza Kiwami,PC,"Feb 19, 2019",7.9,/game/pc/yakuza-kiwami,M,"['Ryu ga Gotoku Studios', ' Lab42']","['Action Adventure', 'Open-World']"
84.0,Sega Ages: OutRun,Switch,"Jan 10, 2019",7.9,/game/switch/sega-ages-outrun,E,"['Sega', ' M2']","['Racing', 'Arcade', 'Automobile']"
